Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.35668477416038513, 0.315824031829834, 0.3274911642074585]]  lables [0]
outputs [[0.3575405776500702, 0.31825950741767883, 0.3241998851299286]]  lables [1]
outputs [[0.3437493145465851, 0.3187340795993805, 0.33751657605171204]]  lables [2]
outputs [[0.3475087583065033, 0.315020352602005, 0.3374708592891693]]  lables [2]
outputs [[0.35501235723495483, 0.31019893288612366, 0.3347886800765991]]  lables [2]
outputs [[0.34559571743011475, 0.3084190785884857, 0.34598517417907715]]  lables [1]
outputs [[0.3476962745189667, 0.3279549181461334, 0.3243488669395447]]  lables [0]
outputs [[0.3487972915172577, 0.31740710139274597, 0.3337956666946411]]  lables [2]
outputs [[0.34485042095184326, 0.3203853368759155, 0.3347642123699188]]  lables [2]
outputs [[0.33584117889404297, 0.31567850708961487, 0.3484802842140198]]  lables [2]
outputs [[0.34310585260391235, 0.31337904930114746, 0.3435150384902954]]  lables [0]
outputs [[0.3424486219882965, 0.3157790005207062, 0.3417724072933197]]  lables [1]
outputs [[0.3558516800403595, 0.318666011095047, 0.3254822790622711]]  lables [0]
outputs [[0.34340596199035645, 0.32195544242858887, 0.3346385955810547]]  lables [2]
outputs [[0.34447363018989563, 0.31141117215156555, 0.3441152274608612]]  lables [2]
outputs [[0.3465571999549866, 0.3147990107536316, 0.33864375948905945]]  lables [0]
outputs [[0.34463056921958923, 0.3180367946624756, 0.3373326361179352]]  lables [1]
outputs [[0.3440615236759186, 0.3243277370929718, 0.331610769033432]]  lables [1]
outputs [[0.36025330424308777, 0.30793270468711853, 0.3318139910697937]]  lables [2]
outputs [[0.3530077040195465, 0.3206045925617218, 0.3263876736164093]]  lables [1]
outputs [[0.3456111550331116, 0.31343355774879456, 0.34095531702041626]]  lables [2]
outputs [[0.3605744540691376, 0.32231250405311584, 0.31711310148239136]]  lables [2]
outputs [[0.3470633029937744, 0.3196471929550171, 0.3332895040512085]]  lables [0]
outputs [[0.3420822322368622, 0.3094031512737274, 0.3485146164894104]]  lables [1]
outputs [[0.3316366672515869, 0.32670387625694275, 0.34165945649147034]]  lables [0]
outputs [[0.3524100184440613, 0.31018510460853577, 0.33740487694740295]]  lables [2]
outputs [[0.34286415576934814, 0.3057359457015991, 0.35139989852905273]]  lables [0]
outputs [[0.33903148770332336, 0.32120800018310547, 0.33976051211357117]]  lables [2]
outputs [[0.35198909044265747, 0.32135722041130066, 0.3266536593437195]]  lables [0]
outputs [[0.3561996817588806, 0.3170420825481415, 0.3267582356929779]]  lables [0]
outputs [[0.3617117702960968, 0.32012951374053955, 0.3181587755680084]]  lables [1]
outputs [[0.3530871272087097, 0.3152405321598053, 0.331672340631485]]  lables [0]
outputs [[0.3450268805027008, 0.32002896070480347, 0.3349442183971405]]  lables [2]
outputs [[0.3515704870223999, 0.3142090439796448, 0.3342204988002777]]  lables [0]
outputs [[0.3629603087902069, 0.3193390369415283, 0.31770068407058716]]  lables [0]
outputs [[0.34808704257011414, 0.3121209144592285, 0.33979207277297974]]  lables [1]
outputs [[0.34145015478134155, 0.32419222593307495, 0.3343575894832611]]  lables [1]
outputs [[0.34592199325561523, 0.3212954103946686, 0.3327825665473938]]  lables [0]
outputs [[0.3451216220855713, 0.3242518901824951, 0.330626517534256]]  lables [0]
outputs [[0.35610318183898926, 0.3237905502319336, 0.32010626792907715]]  lables [1]
outputs [[0.33864498138427734, 0.3089066445827484, 0.35244831442832947]]  lables [2]
outputs [[0.3609800338745117, 0.3172004520893097, 0.3218194842338562]]  lables [0]
outputs [[0.35532423853874207, 0.31091776490211487, 0.33375805616378784]]  lables [0]
outputs [[0.3578513264656067, 0.31390154361724854, 0.3282471001148224]]  lables [0]
outputs [[0.358234703540802, 0.3145163953304291, 0.32724887132644653]]  lables [0]
outputs [[0.3326745629310608, 0.330089807510376, 0.3372356593608856]]  lables [1]
outputs [[0.35273388028144836, 0.32210561633110046, 0.3251604735851288]]  lables [1]
outputs [[0.35193610191345215, 0.328424334526062, 0.3196396231651306]]  lables [1]
outputs [[0.34982436895370483, 0.3147742450237274, 0.33540138602256775]]  lables [1]
outputs [[0.3479180335998535, 0.31113696098327637, 0.34094497561454773]]  lables [1]
outputs [[0.34729599952697754, 0.3228553235530853, 0.32984864711761475]]  lables [0]
outputs [[0.34577372670173645, 0.3160913586616516, 0.3381349444389343]]  lables [2]
outputs [[0.3446192443370819, 0.3251596689224243, 0.3302210569381714]]  lables [2]
outputs [[0.3453022241592407, 0.32247617840766907, 0.3322215974330902]]  lables [1]
outputs [[0.346014142036438, 0.32155176997184753, 0.3324340283870697]]  lables [2]
outputs [[0.3463749587535858, 0.3166976273059845, 0.3369273841381073]]  lables [0]
outputs [[0.3492712676525116, 0.3132975101470947, 0.33743125200271606]]  lables [2]
outputs [[0.348992258310318, 0.30865830183029175, 0.34234946966171265]]  lables [1]
outputs [[0.3538333773612976, 0.30935612320899963, 0.33681055903434753]]  lables [0]
outputs [[0.35518595576286316, 0.320609450340271, 0.32420459389686584]]  lables [2]
outputs [[0.3467597961425781, 0.32084470987319946, 0.3323954641819]]  lables [1]
outputs [[0.34443768858909607, 0.3109687268733978, 0.3445935547351837]]  lables [2]
outputs [[0.350018173456192, 0.3122570216655731, 0.3377247750759125]]  lables [2]
outputs [[0.3516787588596344, 0.30969348549842834, 0.33862775564193726]]  lables [2]
outputs [[0.34715014696121216, 0.3173403739929199, 0.3355094790458679]]  lables [0]
outputs [[0.3393149971961975, 0.30592215061187744, 0.35476282238960266]]  lables [2]
outputs [[0.3503986597061157, 0.3205626308917999, 0.3290386497974396]]  lables [0]
outputs [[0.3562944233417511, 0.31053462624549866, 0.33317092061042786]]  lables [1]
outputs [[0.3504781424999237, 0.31780651211738586, 0.33171534538269043]]  lables [1]
outputs [[0.34899410605430603, 0.31348270177841187, 0.3375231921672821]]  lables [1]
outputs [[0.34321489930152893, 0.31895479559898376, 0.3378302752971649]]  lables [2]
outputs [[0.3595389127731323, 0.3169774115085602, 0.3234836459159851]]  lables [0]
outputs [[0.35943350195884705, 0.3228352963924408, 0.31773117184638977]]  lables [2]
outputs [[0.3396945595741272, 0.3227545917034149, 0.3375508785247803]]  lables [1]
outputs [[0.3456026613712311, 0.3253653049468994, 0.3290320932865143]]  lables [1]
outputs [[0.3489333391189575, 0.31979551911354065, 0.33127111196517944]]  lables [0]
outputs [[0.34001439809799194, 0.3114027976989746, 0.34858283400535583]]  lables [1]
outputs [[0.3599362373352051, 0.3086867332458496, 0.3313770294189453]]  lables [0]
outputs [[0.34756404161453247, 0.31589099764823914, 0.3365449905395508]]  lables [2]
outputs [[0.3593653440475464, 0.30608677864074707, 0.33454790711402893]]  lables [0]
outputs [[0.3456260859966278, 0.318523645401001, 0.3358502984046936]]  lables [2]
outputs [[0.3464754819869995, 0.3184308707714081, 0.33509361743927]]  lables [2]
outputs [[0.35197702050209045, 0.313254714012146, 0.33476823568344116]]  lables [2]
outputs [[0.3499186336994171, 0.3207849860191345, 0.32929641008377075]]  lables [0]
outputs [[0.3499394357204437, 0.3194955289363861, 0.33056509494781494]]  lables [1]
outputs [[0.33879896998405457, 0.31682589650154114, 0.3443751037120819]]  lables [2]
outputs [[0.3413078188896179, 0.3250623643398285, 0.333629846572876]]  lables [0]
outputs [[0.3489914834499359, 0.32054486870765686, 0.33046358823776245]]  lables [0]
outputs [[0.3461436331272125, 0.31338420510292053, 0.34047219157218933]]  lables [0]
outputs [[0.3494639992713928, 0.31537047028541565, 0.33516550064086914]]  lables [1]
outputs [[0.34184712171554565, 0.31203749775886536, 0.34611546993255615]]  lables [0]
outputs [[0.36366307735443115, 0.2941901683807373, 0.34214678406715393]]  lables [0]
outputs [[0.35777702927589417, 0.3181120455265045, 0.3241109251976013]]  lables [2]
outputs [[0.354322224855423, 0.3161977529525757, 0.32947999238967896]]  lables [0]
outputs [[0.34612834453582764, 0.3274754583835602, 0.3263961970806122]]  lables [2]
outputs [[0.35234224796295166, 0.3194103538990021, 0.32824739813804626]]  lables [2]
outputs [[0.33926060795783997, 0.31661519408226013, 0.3441242277622223]]  lables [0]
outputs [[0.34383079409599304, 0.32436731457710266, 0.3318018317222595]]  lables [2]
outputs [[0.3466726839542389, 0.3063991367816925, 0.346928209066391]]  lables [2]
outputs [[0.34696799516677856, 0.31938204169273376, 0.3336499035358429]]  lables [2]
outputs [[0.34299278259277344, 0.32441872358322144, 0.33258846402168274]]  lables [2]
outputs [[0.3547859489917755, 0.3081021308898926, 0.3371119201183319]]  lables [1]
outputs [[0.33746930956840515, 0.31698253750801086, 0.3455481231212616]]  lables [1]
outputs [[0.35130518674850464, 0.3093487620353699, 0.3393460512161255]]  lables [2]
outputs [[0.35309135913848877, 0.3251499533653259, 0.3217586874961853]]  lables [1]
outputs [[0.35062238574028015, 0.3220670819282532, 0.3273105323314667]]  lables [2]
outputs [[0.353743314743042, 0.31346395611763, 0.332792729139328]]  lables [2]
outputs [[0.34704113006591797, 0.31214210391044617, 0.3408167362213135]]  lables [2]
outputs [[0.3505968153476715, 0.3133805990219116, 0.3360225558280945]]  lables [1]
outputs [[0.34224212169647217, 0.3169849216938019, 0.34077292680740356]]  lables [1]
outputs [[0.36090752482414246, 0.3197137415409088, 0.31937870383262634]]  lables [0]
outputs [[0.35236427187919617, 0.32478174567222595, 0.32285404205322266]]  lables [2]
outputs [[0.34220221638679504, 0.3376893699169159, 0.3201083838939667]]  lables [1]
outputs [[0.3489648103713989, 0.322527676820755, 0.32850751280784607]]  lables [0]
outputs [[0.3550182282924652, 0.3176257312297821, 0.3273560702800751]]  lables [0]
outputs [[0.3466387689113617, 0.3189460337162018, 0.3344152569770813]]  lables [2]
outputs [[0.34566622972488403, 0.311585396528244, 0.34274837374687195]]  lables [1]
outputs [[0.342281699180603, 0.3171811103820801, 0.3405372202396393]]  lables [2]
outputs [[0.34465569257736206, 0.32899579405784607, 0.3263484835624695]]  lables [2]
outputs [[0.3530825078487396, 0.3109095096588135, 0.3360080122947693]]  lables [0]
outputs [[0.34863510727882385, 0.3263934254646301, 0.32497143745422363]]  lables [0]
outputs [[0.36685359477996826, 0.30962538719177246, 0.32352104783058167]]  lables [0]
outputs [[0.3533756136894226, 0.3268430233001709, 0.3197813332080841]]  lables [1]
outputs [[0.3501954674720764, 0.3184235692024231, 0.3313809931278229]]  lables [2]
outputs [[0.3534320592880249, 0.31174588203430176, 0.3348221182823181]]  lables [0]
outputs [[0.34348973631858826, 0.3159101903438568, 0.3406001031398773]]  lables [2]
outputs [[0.3461076617240906, 0.32914018630981445, 0.32475215196609497]]  lables [0]
outputs [[0.3492962121963501, 0.3234090507030487, 0.3272947669029236]]  lables [0]
outputs [[0.3424462080001831, 0.31626418232917786, 0.3412896394729614]]  lables [0]
outputs [[0.352031409740448, 0.31173110008239746, 0.33623746037483215]]  lables [1]
outputs [[0.3397746980190277, 0.31248345971107483, 0.34774184226989746]]  lables [2]
outputs [[0.35712629556655884, 0.31650638580322266, 0.32636725902557373]]  lables [1]
outputs [[0.3552432060241699, 0.30970877408981323, 0.33504796028137207]]  lables [2]
outputs [[0.35241806507110596, 0.30955401062965393, 0.3380279541015625]]  lables [2]
outputs [[0.35412687063217163, 0.3254340589046478, 0.32043901085853577]]  lables [0]
outputs [[0.3514179289340973, 0.31519487500190735, 0.33338722586631775]]  lables [0]
outputs [[0.3552285134792328, 0.3344435393810272, 0.3103279173374176]]  lables [1]
outputs [[0.35573577880859375, 0.3087770342826843, 0.3354872167110443]]  lables [0]
outputs [[0.3614455759525299, 0.319677472114563, 0.3188769221305847]]  lables [0]
outputs [[0.3361172080039978, 0.31171202659606934, 0.3521707355976105]]  lables [1]
outputs [[0.34203773736953735, 0.3208012282848358, 0.33716103434562683]]  lables [2]
outputs [[0.34453219175338745, 0.3073558807373047, 0.34811192750930786]]  lables [2]
outputs [[0.34926626086235046, 0.3170677125453949, 0.333666056394577]]  lables [1]
outputs [[0.35023871064186096, 0.3263683617115021, 0.3233928978443146]]  lables [0]
outputs [[0.3546903133392334, 0.3004835844039917, 0.3448260724544525]]  lables [0]
outputs [[0.3510838449001312, 0.318657249212265, 0.33025887608528137]]  lables [1]
outputs [[0.341961532831192, 0.3254203498363495, 0.3326181173324585]]  lables [1]
outputs [[0.35285624861717224, 0.32521429657936096, 0.3219294250011444]]  lables [0]
outputs [[0.34054791927337646, 0.3232373893260956, 0.33621466159820557]]  lables [1]
outputs [[0.34774789214134216, 0.3038055896759033, 0.3484465181827545]]  lables [1]
outputs [[0.3415694832801819, 0.32232728600502014, 0.33610326051712036]]  lables [2]
outputs [[0.3498955965042114, 0.30555179715156555, 0.34455257654190063]]  lables [0]
outputs [[0.34265202283859253, 0.3189423680305481, 0.33840563893318176]]  lables [2]
outputs [[0.3462061882019043, 0.3340267539024353, 0.3197670578956604]]  lables [1]
outputs [[0.33957311511039734, 0.3145068883895874, 0.34592002630233765]]  lables [1]
outputs [[0.344684898853302, 0.3226035535335541, 0.33271151781082153]]  lables [0]
outputs [[0.35691675543785095, 0.30988314747810364, 0.3332000970840454]]  lables [2]
Train - epoch: 0 batch: 140 loss: 1.0989298820495605
outputs [[0.3423079550266266, 0.31864333152770996, 0.33904871344566345]]  lables [1]
outputs [[0.33664563298225403, 0.32266858220100403, 0.34068575501441956]]  lables [0]
outputs [[0.34497353434562683, 0.32925358414649963, 0.32577288150787354]]  lables [1]
outputs [[0.35158902406692505, 0.3118137717247009, 0.33659717440605164]]  lables [2]
outputs [[0.35917332768440247, 0.3243633210659027, 0.31646329164505005]]  lables [1]
outputs [[0.3585314154624939, 0.3012677729129791, 0.340200811624527]]  lables [0]
outputs [[0.3517166078090668, 0.3186574876308441, 0.3296258747577667]]  lables [2]
outputs [[0.33773452043533325, 0.33900004625320435, 0.3232654631137848]]  lables [2]
outputs [[0.35532650351524353, 0.3197886049747467, 0.32488495111465454]]  lables [0]
outputs [[0.35842496156692505, 0.2944069504737854, 0.3471680283546448]]  lables [0]
outputs [[0.3540010154247284, 0.3166687786579132, 0.3293301463127136]]  lables [0]
outputs [[0.3449345827102661, 0.3251621127128601, 0.32990333437919617]]  lables [0]
outputs [[0.33987540006637573, 0.3200798034667969, 0.3400448262691498]]  lables [2]
outputs [[0.356816828250885, 0.3187926709651947, 0.3243904411792755]]  lables [0]
outputs [[0.3576469421386719, 0.31252068281173706, 0.32983240485191345]]  lables [2]
outputs [[0.34933674335479736, 0.3133615553379059, 0.33730167150497437]]  lables [1]
outputs [[0.3465239703655243, 0.3182526230812073, 0.33522331714630127]]  lables [1]
outputs [[0.3442545235157013, 0.316511332988739, 0.3392341732978821]]  lables [0]
outputs [[0.35069164633750916, 0.32642725110054016, 0.3228811025619507]]  lables [2]
outputs [[0.3441435992717743, 0.3148858845233917, 0.340970516204834]]  lables [2]
outputs [[0.34446442127227783, 0.3226543962955475, 0.3328811824321747]]  lables [1]
outputs [[0.34129905700683594, 0.3139675557613373, 0.3447333872318268]]  lables [0]
outputs [[0.36245352029800415, 0.31620073318481445, 0.3213457763195038]]  lables [0]
outputs [[0.3466767966747284, 0.3178572654724121, 0.3354659676551819]]  lables [2]
outputs [[0.347989946603775, 0.3186652362346649, 0.33334481716156006]]  lables [1]
outputs [[0.3514437675476074, 0.30943840742111206, 0.3391178548336029]]  lables [2]
outputs [[0.35132142901420593, 0.3220920264720917, 0.3265865445137024]]  lables [0]
outputs [[0.35352373123168945, 0.3121401071548462, 0.3343361020088196]]  lables [0]
outputs [[0.36042073369026184, 0.31475207209587097, 0.3248271346092224]]  lables [0]
outputs [[0.34318721294403076, 0.3229978382587433, 0.33381494879722595]]  lables [2]
outputs [[0.34444206953048706, 0.3208445608615875, 0.334713339805603]]  lables [2]
outputs [[0.347725510597229, 0.31238940358161926, 0.3398851156234741]]  lables [0]
outputs [[0.3557821214199066, 0.32842397689819336, 0.3157939314842224]]  lables [0]
outputs [[0.3557461202144623, 0.32145532965660095, 0.32279857993125916]]  lables [0]
outputs [[0.34585362672805786, 0.33495068550109863, 0.3191956877708435]]  lables [2]
outputs [[0.3468550443649292, 0.3228432834148407, 0.3303016722202301]]  lables [2]
outputs [[0.3493821322917938, 0.3217427134513855, 0.3288751244544983]]  lables [1]
outputs [[0.3544219732284546, 0.3140374720096588, 0.3315404951572418]]  lables [2]
outputs [[0.3386426568031311, 0.32629725337028503, 0.33506014943122864]]  lables [0]
outputs [[0.34305429458618164, 0.31625664234161377, 0.340689092874527]]  lables [0]
outputs [[0.3494578003883362, 0.31854283809661865, 0.3319993317127228]]  lables [1]
outputs [[0.352411687374115, 0.32125744223594666, 0.32633090019226074]]  lables [1]
outputs [[0.34671691060066223, 0.31144577264785767, 0.3418373465538025]]  lables [2]
outputs [[0.3531314730644226, 0.3145751953125, 0.3322933614253998]]  lables [2]
outputs [[0.34108906984329224, 0.33470985293388367, 0.32420113682746887]]  lables [1]
outputs [[0.35338279604911804, 0.34020566940307617, 0.3064115047454834]]  lables [2]
outputs [[0.350885272026062, 0.32785335183143616, 0.32126134634017944]]  lables [2]
outputs [[0.33985620737075806, 0.3291674554347992, 0.33097636699676514]]  lables [0]
outputs [[0.3507710099220276, 0.3140747845172882, 0.3351542055606842]]  lables [0]
outputs [[0.35109996795654297, 0.32218003273010254, 0.3267199993133545]]  lables [2]
outputs [[0.3519970178604126, 0.32409554719924927, 0.3239074647426605]]  lables [1]
outputs [[0.36004552245140076, 0.3114456236362457, 0.3285088539123535]]  lables [2]
outputs [[0.3502732515335083, 0.31895512342453003, 0.33077162504196167]]  lables [1]
outputs [[0.3447544276714325, 0.31467029452323914, 0.340575248003006]]  lables [0]
outputs [[0.3538283109664917, 0.31524133682250977, 0.33093032240867615]]  lables [0]
outputs [[0.3528340458869934, 0.30900928378105164, 0.33815670013427734]]  lables [2]
outputs [[0.34964582324028015, 0.31884583830833435, 0.3315083682537079]]  lables [2]
outputs [[0.355930358171463, 0.3133823275566101, 0.3306872844696045]]  lables [2]
outputs [[0.3430933356285095, 0.3189036250114441, 0.3380030393600464]]  lables [1]
outputs [[0.34326040744781494, 0.31263667345046997, 0.3441029191017151]]  lables [2]
outputs [[0.33293160796165466, 0.31618091464042664, 0.3508875370025635]]  lables [1]
outputs [[0.3484625816345215, 0.3147992789745331, 0.3367381691932678]]  lables [2]
outputs [[0.34739571809768677, 0.32566776871681213, 0.3269365429878235]]  lables [0]
outputs [[0.34458839893341064, 0.3181880712509155, 0.3372235596179962]]  lables [1]
outputs [[0.34564071893692017, 0.31698065996170044, 0.3373786509037018]]  lables [2]
outputs [[0.3418179452419281, 0.3194311559200287, 0.338750958442688]]  lables [2]
outputs [[0.3555254340171814, 0.3216410279273987, 0.3228335380554199]]  lables [0]
outputs [[0.353371798992157, 0.30821824073791504, 0.33841001987457275]]  lables [1]
outputs [[0.34759628772735596, 0.31482556462287903, 0.3375781774520874]]  lables [1]
outputs [[0.34984439611434937, 0.31285518407821655, 0.3373003602027893]]  lables [0]
outputs [[0.34377172589302063, 0.3210529088973999, 0.33517539501190186]]  lables [2]
outputs [[0.3467133045196533, 0.3197661340236664, 0.3335205614566803]]  lables [1]
outputs [[0.3496832251548767, 0.32149168848991394, 0.32882508635520935]]  lables [2]
outputs [[0.34005072712898254, 0.31641724705696106, 0.3435320258140564]]  lables [1]
outputs [[0.3513738214969635, 0.3257240355014801, 0.322902113199234]]  lables [1]
outputs [[0.36071476340293884, 0.312579870223999, 0.32670533657073975]]  lables [0]
outputs [[0.34359753131866455, 0.33098095655441284, 0.3254215717315674]]  lables [2]
outputs [[0.3416963219642639, 0.3254207372665405, 0.33288291096687317]]  lables [1]
outputs [[0.35299983620643616, 0.3214937448501587, 0.32550644874572754]]  lables [1]
outputs [[0.3521529734134674, 0.3200433552265167, 0.3278036117553711]]  lables [1]
outputs [[0.34300094842910767, 0.3189728558063507, 0.33802616596221924]]  lables [0]
outputs [[0.3511165678501129, 0.32185301184654236, 0.3270304203033447]]  lables [0]
outputs [[0.3571198582649231, 0.31351011991500854, 0.32937005162239075]]  lables [1]
outputs [[0.36087995767593384, 0.31322938203811646, 0.3258906304836273]]  lables [0]
outputs [[0.3472119867801666, 0.32405558228492737, 0.3287324607372284]]  lables [0]
outputs [[0.3634563386440277, 0.3170694410800934, 0.3194741904735565]]  lables [2]
outputs [[0.3572697341442108, 0.31281593441963196, 0.3299143612384796]]  lables [1]
outputs [[0.3517513871192932, 0.312244176864624, 0.3360044062137604]]  lables [0]
outputs [[0.3467372953891754, 0.3194766044616699, 0.33378612995147705]]  lables [0]
outputs [[0.3572950065135956, 0.32038530707359314, 0.32231971621513367]]  lables [0]
outputs [[0.34541380405426025, 0.3165990710258484, 0.33798715472221375]]  lables [2]
outputs [[0.33575427532196045, 0.3239581286907196, 0.34028756618499756]]  lables [1]
outputs [[0.34986963868141174, 0.3093559145927429, 0.34077444672584534]]  lables [1]
outputs [[0.3428569436073303, 0.31154102087020874, 0.3456020653247833]]  lables [2]
outputs [[0.3382246494293213, 0.3220898509025574, 0.33968544006347656]]  lables [0]
outputs [[0.3544629216194153, 0.31357643008232117, 0.33196061849594116]]  lables [0]
outputs [[0.34617510437965393, 0.3194272816181183, 0.3343975841999054]]  lables [2]
outputs [[0.3530091941356659, 0.3291648328304291, 0.31782594323158264]]  lables [2]
outputs [[0.35829997062683105, 0.3033232092857361, 0.33837682008743286]]  lables [0]
outputs [[0.34724152088165283, 0.32299667596817017, 0.3297618329524994]]  lables [2]
outputs [[0.35014185309410095, 0.3178618550300598, 0.3319963216781616]]  lables [1]
outputs [[0.34806913137435913, 0.3186298608779907, 0.33330100774765015]]  lables [1]
outputs [[0.33982282876968384, 0.32473671436309814, 0.335440456867218]]  lables [0]
outputs [[0.3531484603881836, 0.30607542395591736, 0.34077608585357666]]  lables [1]
outputs [[0.3464786112308502, 0.3196859061717987, 0.3338354825973511]]  lables [0]
outputs [[0.3454756736755371, 0.308615118265152, 0.3459092080593109]]  lables [2]
outputs [[0.3486177623271942, 0.3183276057243347, 0.3330546021461487]]  lables [1]
outputs [[0.3454710841178894, 0.3177665174007416, 0.33676233887672424]]  lables [2]
outputs [[0.34490346908569336, 0.31589215993881226, 0.3392043709754944]]  lables [1]
outputs [[0.3498489558696747, 0.3283373713493347, 0.3218136429786682]]  lables [2]
outputs [[0.3450375199317932, 0.3152141571044922, 0.3397483229637146]]  lables [0]
outputs [[0.34523919224739075, 0.31941086053848267, 0.335349977016449]]  lables [1]
outputs [[0.3490123450756073, 0.3229786455631256, 0.3280089497566223]]  lables [1]
outputs [[0.3564397096633911, 0.31320953369140625, 0.3303508162498474]]  lables [2]
outputs [[0.35610231757164, 0.3223680555820465, 0.32152965664863586]]  lables [0]
outputs [[0.34643587470054626, 0.3099466860294342, 0.34361743927001953]]  lables [1]
outputs [[0.34546053409576416, 0.32955434918403625, 0.324985146522522]]  lables [1]
outputs [[0.3471207916736603, 0.30922093987464905, 0.3436582684516907]]  lables [2]
outputs [[0.35341310501098633, 0.312177449464798, 0.3344094157218933]]  lables [0]
outputs [[0.3529967665672302, 0.3084631562232971, 0.33854007720947266]]  lables [2]
outputs [[0.33941859006881714, 0.3267210125923157, 0.3338603675365448]]  lables [2]
outputs [[0.3510897159576416, 0.3214925527572632, 0.3274177312850952]]  lables [2]
outputs [[0.3436404764652252, 0.3245794177055359, 0.33178016543388367]]  lables [1]
outputs [[0.3568274676799774, 0.3088531792163849, 0.3343193233013153]]  lables [1]
outputs [[0.34608909487724304, 0.32460471987724304, 0.32930612564086914]]  lables [2]
outputs [[0.3411879241466522, 0.32478445768356323, 0.33402761816978455]]  lables [0]
outputs [[0.34969449043273926, 0.31797024607658386, 0.3323352634906769]]  lables [1]
outputs [[0.3490053117275238, 0.32331570982933044, 0.3276790380477905]]  lables [0]
outputs [[0.34636741876602173, 0.3255554437637329, 0.32807713747024536]]  lables [1]
outputs [[0.3410996198654175, 0.31610023975372314, 0.34280017018318176]]  lables [2]
outputs [[0.35129889845848083, 0.3186380863189697, 0.33006298542022705]]  lables [1]
outputs [[0.3403129577636719, 0.3377586305141449, 0.3219284117221832]]  lables [2]
outputs [[0.34463417530059814, 0.31522998213768005, 0.3401358425617218]]  lables [1]
outputs [[0.35298389196395874, 0.33365797996520996, 0.3133580982685089]]  lables [1]
outputs [[0.34656330943107605, 0.3195449113845825, 0.33389174938201904]]  lables [1]
outputs [[0.34809744358062744, 0.31684041023254395, 0.3350621163845062]]  lables [1]
outputs [[0.3494906425476074, 0.32461944222450256, 0.3258898854255676]]  lables [1]
outputs [[0.3481718897819519, 0.3232191801071167, 0.328608900308609]]  lables [2]
outputs [[0.33285030722618103, 0.32333534955978394, 0.3438144028186798]]  lables [1]
outputs [[0.3488519787788391, 0.30639398097991943, 0.34475409984588623]]  lables [2]
outputs [[0.3614085018634796, 0.3142607510089874, 0.32433074712753296]]  lables [0]
outputs [[0.34565576910972595, 0.3204520046710968, 0.33389222621917725]]  lables [2]
outputs [[0.35159480571746826, 0.326885849237442, 0.32151931524276733]]  lables [2]
outputs [[0.34716254472732544, 0.31946125626564026, 0.3333762288093567]]  lables [1]
outputs [[0.35220807790756226, 0.31744328141212463, 0.3303486704826355]]  lables [2]
outputs [[0.3536854386329651, 0.32919225096702576, 0.31712228059768677]]  lables [0]
outputs [[0.34717217087745667, 0.3094346821308136, 0.34339311718940735]]  lables [0]
outputs [[0.3478521704673767, 0.31235605478286743, 0.3397917151451111]]  lables [2]
outputs [[0.34924787282943726, 0.3178924322128296, 0.33285969495773315]]  lables [2]
outputs [[0.3512258231639862, 0.31324705481529236, 0.33552712202072144]]  lables [1]
outputs [[0.3517213463783264, 0.30989542603492737, 0.33838319778442383]]  lables [0]
outputs [[0.33789676427841187, 0.32418695092201233, 0.3379163444042206]]  lables [1]
outputs [[0.3455837666988373, 0.32223647832870483, 0.3321797251701355]]  lables [1]
outputs [[0.35051023960113525, 0.3111535310745239, 0.33833616971969604]]  lables [0]
outputs [[0.3517165184020996, 0.3091455101966858, 0.3391380310058594]]  lables [2]
outputs [[0.34485653042793274, 0.3194873631000519, 0.33565613627433777]]  lables [2]
outputs [[0.348422110080719, 0.3250417709350586, 0.32653605937957764]]  lables [2]
outputs [[0.34608516097068787, 0.3185916244983673, 0.33532318472862244]]  lables [2]
outputs [[0.35286200046539307, 0.319970041513443, 0.32716795802116394]]  lables [0]
outputs [[0.3442848026752472, 0.315414696931839, 0.3403005599975586]]  lables [1]
Valid - epcoh: 0 loss: 1.096930649863349 accuracy: 36.0444450378418
Model 0 was saved.
outputs [[0.35481899976730347, 0.3128707706928253, 0.3323102593421936]]  lables [2]
outputs [[0.34659403562545776, 0.31966426968574524, 0.333741694688797]]  lables [2]
outputs [[0.3485802710056305, 0.32248374819755554, 0.32893598079681396]]  lables [1]
outputs [[0.3465796113014221, 0.32287877798080444, 0.3305416405200958]]  lables [0]
outputs [[0.3414781093597412, 0.3189978301525116, 0.33952397108078003]]  lables [2]
outputs [[0.3489936888217926, 0.3291979730129242, 0.32180824875831604]]  lables [2]
outputs [[0.35793235898017883, 0.3252952992916107, 0.31677237153053284]]  lables [1]
outputs [[0.35111409425735474, 0.32778245210647583, 0.32110345363616943]]  lables [2]
outputs [[0.3396858274936676, 0.32675957679748535, 0.33355459570884705]]  lables [1]
outputs [[0.3658272624015808, 0.3086189925670624, 0.3255537450313568]]  lables [0]
outputs [[0.3445165753364563, 0.3169057071208954, 0.3385777771472931]]  lables [1]
outputs [[0.34835490584373474, 0.32143765687942505, 0.3302074670791626]]  lables [2]
outputs [[0.3520157039165497, 0.3159022033214569, 0.3320821225643158]]  lables [2]
